,OriginalTweet,Sentiment,cleaned
1561,Someone pulled a gun inside a Toronto supermarket today #coronavirus #coronapocalypse #CoronaOutbreak #Covid_19 https://t.co/itDJdFOttY,Negative,someon pull gun insid toronto supermarket today coronaviru coronapocalyp coronaoutbreak covid http co itdjdfotti
3704,"Everyone also thank your grocery store workers, they are working very hard to give you everything you need during this time and they HAVE to stay open too. He just got done with a 13 hour shift and is exhausted. #CoronavirusOutbreak #Covid_19 https://t.co/a2iN8A2vSC",Negative,everyon also thank groceri store worker work veri hard give everyth need dure thi time stay open got done hour shift exhaust coronavirusoutbreak covid http co vsc
2396,"In China, people have dramatically shifted toward online shopping for all types of goods, including food and product delivery. Companies should invest in online as part of their push for omnichannel distribution. #covid_19 #chinaecommerce
https://t.co/mDpkG8QJSV",Neutral,china peopl dramat shift toward onlin shop type good includ food product deliveri compani invest onlin part push omnichannel distribut covid chinaecommerc http co mdpkg qjsv
1243,I feel the cleaning aisle of my local grocery store is a physical metaphor for peopleÂs heads right now. #COVID2019 #ldnont https://t.co/8ZeM55d979,Neutral,feel clean aisl local groceri store physic metaphor peopl head right covid ldnont http co zem
2296,I canÂt be quarantined! My online shopping is out of hand and IÂm bouta spend my COVID 19 national emergency fund on summer clothes and places to wear em  ????,Positive,quarantin onlin shop hand bouta spend covid nation emerg fund summer cloth place wear em
255,"Have a question: if COVID-19 does sweep the country in full pandemic style, how long do you think we will have to quarantine as individuals? 2 weeks, 3 weeks? 

I'm just taking stock of things and I'm wondering if 3 weeks worth of food is adequate.",Positive,question covid doe sweep countri full pandem style long think quarantin individu week week take stock thing wonder week worth food adequ
1506,Be kind to employees at the grocery store by thanking them for working tirelessly at the registers and restocking inventory in the aisles. It makes a big difference in their day when they feel appreciated.?? #Covid_19,Extremely Positive,kind employ groceri store thank work tirelessli regist restock inventori aisl make big differ day feel appreci covid
968,None of these fuckers have been in a superstore or grocery store #Covid_19,Positive,none fucker superstor groceri store covid
3566,@ShopRite @Wegmans Please have designated time hours in the AM where the elderly can purchase food for themselves and seperate themselves from the hoarders and potential dangers of those carrying the virus... This should be done now!  #shoprite #wegmans #,Negative,shoprit wegman plea design time hour elderli purcha food themselv seper themselv hoarder potenti danger carri viru thi done shoprit wegman
2735,"When you shake hand with someone who is sneezing, coughing &amp; hand sanitizers are out of stock - 

#CoronaVirus https://t.co/OMbFSJO4l7",Extremely Positive,shake hand someon sneez cough amp hand sanit stock coronaviru http co ombfsjo l
548,"Over the last week #Covid_19 has had no affect on the #Tacoma real estate market. However I expect that to change soon as consumer sentiment is a major factor for the RE market and is taking a beating with stocks. 
#realestate",Extremely Negative,last week covid ha affect tacoma real estat market howev expect chang soon consum sentiment major factor market take beat stock realest
3551,"Buying food in the time of covid-19.

1. no mass transpo, just walk
2. only one buyer per household
3. stock up for one week

And oh, fuck this government. https://t.co/Jz47vAAsXA",Extremely Negative,buy food time covid mass transpo walk onli one buyer per household stock one week oh fuck thi govern http co jz vaasxa
352,"Real question, should I stock up on things I already have (dog food, cat food, litter, tampons, etc.)? How insane is this #coronavirus thing going to get? IÂm not worried about the virus, IÂm worried about being told to stay put with no supplies...",Negative,real question stock thing alreadi dog food cat food litter tampon etc insan thi coronaviru thing go get worri viru worri told stay put suppli
1354,"@Roxetera I think everybody,me  I'm going crazy about it ,stay safe and https://t.co/VTYug5194A's better you stock more food there to avoid covid 19.",Positive,roxetera think everybodi go crazi stay safe http co vtyug better stock food avoid covid
299,"@Bryan700 @OfficerBandit @RavagerMog Imagine your life if the supply chain from manufacturer??warehouse??retail store is disrupted because of lockdowns in cities, counties, states, or nations because of #Covid_19 Especially is your stock of food includes ",Neutral,bryan officerbandit ravagermog imagin life suppli chain manufactur warehous retail store disrupt becau lockdown citi counti state nation becau covid especi stock food includ
2395,"Sooo, here in NZ we have now 6 confirmed cases of #Covid_19. All good. Went to supermarket today, expecting to have a full-on wrestling match mid-aisle for loo paper. No such luck. In NZ people are sane. In NZ people don't hoard loo paper. Shelves full of everything. Go NZ!",Positive,sooo nz confirm case covid good went supermarket today expect full wrestl match mid aisl loo paper luck nz peopl sane nz peopl hoard loo paper shelv full everyth go nz
3004,"Lots of people are online shopping because of #coronavirus meaning fewer delivery slots available for vulnerable people who have been told to self-isolate.

Delivery companies should be implementing a flagging system to prioritise vulnerable people at this time.",Negative,lot peopl onlin shop becau coronaviru mean fewer deliveri slot avail vulner peopl told self isol deliveri compani implement flag system prioriti vulner peopl thi time
1626,South Bay and other communities scramble for necessities as supplies backordered or out of stock. This is smart and final in Redondo beach. @CBSLA @KTLAnewsdesk #CommunityQuarantine #Covid_19 #supplies #southbay #LA #food #panicbuyers #eccunion https://t.co/rorhMwEyVH,Positive,south bay commun scrambl necess suppli backord stock thi smart final redondo beach cbsla ktlanewsdesk communityquarantin covid suppli southbay la food panicbuy eccunion http co rorhmweyvh
1139,"Panic begets panic. Let's be sure we check up on each other as well... after all, we are neighbors. #covid_19 #coronavirus #toiletpaper #food #panic #STAYSAFE https://t.co/cTsyy92R4V",Negative,panic beget panic let sure check well neighbor covid coronaviru toiletpap food panic staysaf http co ctsyy r v
942,#Covid_19 just think if the UK closed the schools how many kids would go with out food as the meal in school is the only one they get as family's can't afford food. Or school is the only escape from domestic abuse at home? While the virus is still slow in the UK lets not panic,Negative,covid think uk close school mani kid would go food meal school onli one get famili afford food school onli escap domest abu home viru still slow uk let panic
2222,"#Coronavirus #COVID19 #GlobalPandemic 
Secret Documents Reveal Coronavirus Could be ""Category 5,"" Intel Personnel Stock 3 Months of Food! @Timcast #ThoughtsFromTheCenter  https://t.co/Ab1apwplBu",Neutral,coronaviru covid globalpandem secret document reveal coronaviru could categori intel personnel stock month food timcast thoughtsfromthec http co ab apwplbu
2192,"Spent my first Âself-quarantineÂ day at home; cleaning all my door knobs, counting my stock of food and essentials, and took my break watching Uncut Gems(good movie). Now to watch the news to heighten my anxiety ??? #Covid_19 ???",Positive,spent first self quarantin day home clean door knob count stock food essenti took break watch uncut gem good movi watch news heighten anxieti covid
2825,"A national emergency was declared over the #coronavirus pandemic triggering a run on #toiletPaper. If you're stuck at home for a few weeks, stock up on #food, #medicine, and #videogames! | 8-Bit Central  https://t.co/BpEoeNdLfv",Negative,nation emerg wa declar coronaviru pandem trigger run toiletpap r stuck home week stock food medicin videogam bit central http co bpeoendlfv
1736,"The new norm? My day at the supermarket included: wait to get in, no meat, no beans, no paper anything (toilet paper, napkins), no canned beans...20 min wait to check out. #coronapocalypse #panicbuying #Covid_19 https://t.co/uDUMrdoYP9",Extremely Negative,new norm day supermarket includ wait get meat bean paper anyth toilet paper napkin bean min wait check coronapocalyp panicbuy covid http co udumrdoyp
3037,"#WhatsYourPlanJoe 10 million people will be left uninsured in Biden's Healthcare plan. He already voted No to WellstoneÂs Amendment to keep the life-saving drugs at reasonable prices. 
#Covid_19 #Bernie2020 #Debatenight https://t.co/hqK7NDYJ6e",Negative,whatsyourplanjo million peopl left uninsur biden healthcar plan alreadi vote wellston amend keep life sav drug reason price covid berni debatenight http co hqk ndyj
1999,"https://t.co/1KWpjIeAal
Allaying the concerns of some residents who are rushing to stores for panic buying, the ministry has released statement for the citizens on the stocks available. 
#CoronavirusPandemic #CoronaOutbreak #Covid_19 #Qatar #QatarLiving #Qatarnews",Negative,http co kwpjieaal allay concern resid rush store panic buy ministri ha relea statement citizen stock avail coronaviruspandem coronaoutbreak covid qatar qatarliv qatarnew
1636,"No milk, toilet roll or pasta in the supermarket. This is insane!!! #CoronaOutbreak #Covid_19 #whatDIVOC https://t.co/ZBCXGR5hJJ",Negative,milk toilet roll pasta supermarket thi insan coronaoutbreak covid whatdivoc http co zbcxgr hjj
3241,"@sainsburys Kings Mall on Friday was pandemonium, store was trying to raise money for @sportrelief but of course was overshadowed by the #coronavirus and look at the shelves... Video 2 of 3 #retail #stockpiling #panicbuying https://t.co/HRpqP2HIGe",Neutral,sainsburi king mall friday wa pandemonium store wa tri rai money sportrelief cour wa overshadow coronaviru look shelv video retail stockpil panicbuy http co hrpqp hig
3400,"It became ""real"" today when the family dollar and tiny Mexican grocery were both out of bread and toilet paper... ????
#peopleareidiots
#coronavirus 
#StopPanicBuying https://t.co/gp5I7iZY76",Neutral,becam real today famili dollar tini mexican groceri bread toilet paper peopleareidiot coronaviru stoppanicbuy http co gp izi
800,"4) state institutions encouraged to give services via email/phone when possible; 5) people who have been in Covid 19 countries asked to self-evaluate, self-carantine, not use public transport, use online shopping or go to places late in evening with mask and 2m from other people",Positive,state institut encourag give servic via email phon possibl peopl covid countri ask self evalu self carantin use public transport use onlin shop go place late even mask peopl
689,If you are a healthy low risk person and live in a neighborhood or apartment complex consider offering to go to the grocery store or pharmacy for your high risk neighbors! #CoronavirusPandemic #coronavirus #COVD19,Negative,healthi low risk person live neighborhood apart complex consid offer go groceri store pharmaci high risk neighbor coronaviruspandem coronaviru covd
3104,"Remarkable effort to prevent Covid _19 all around the world , Keep hygienic surroundings and self sanitation around ... Need not panic , healthy food , drink Luke warm or Boil purified water ... praying for everyoneÂs health and those who are suffering , recover soon ..",Extremely Positive,remark effort prevent covid around world keep hygien surround self sanit around need panic healthi food drink luke warm boil purifi water pray everyon health suffer recov soon
2965,This is America   Be safe than sorry better hit up those grocery stores amp stock up on food spend wisely keep washing your hands amp PRAY      ,Extremely Positive,thi america safe sorri better hit groceri store amp stock food spend wise keep wash hand amp pray
3030,Confirming goods out going out of stock from food store,Neutral,confirm good go stock food store
1751,I'm convinced #Covid_19 was created by supermarket CEOs to get rid of products during income tax time.,Positive,convinc covid wa creat supermarket ceo get rid product dure incom tax time
1585,Lol funny thing about his Corona Virus issue. I work in pharmaceuticals and over the past few months. Ghanaians have bought and shipped all the nose mask and hand sanitizers they can get their hand on to china. Because the prices were skyrocketing. #Covid_19,Extremely Positive,lol funni thing hi corona viru issu work pharmaceut past month ghanaian bought ship nose mask hand sanit get hand china becau price skyrocket covid
1483,"Americans Stock Up On Food as COVID-19 Concerns Rise #Covid_19
#coronavirus https://t.co/pDuvhFPhnu https://t.co/3qPqF6Mgsn",Neutral,american stock food covid concern rise covid coronaviru http co pduvhfphnu http co qpqf mgsn
1011,"the supermarket shelves in NYC. Loo roll hoarding is not just an Aussie thing! 

#aupol #coronavirus #Covid_19 https://t.co/hScuxnBgoG",Neutral,supermarket shelv nyc loo roll hoard aussi thing aupol coronaviru covid http co hscuxnbgog
2144,"What to stock up on for coronavirus: Food, supplies to buy for COVID-19 outbreak | https://t.co/KpUqGnBTKj https://t.co/TpwYeY6vnL",Neutral,stock coronaviru food suppli buy covid outbreak http co kpuqgnbtkj http co tpwyey vnl
3155,"Supplies. Notice I didn't take the piss ?
#COVID?19 #coronavirus #stopstockpiling #StopPanicBuying https://t.co/YNrZFffFxZ",Negative,suppli notic take piss covid coronaviru stopstockpil stoppanicbuy http co ynrzffffxz
1697,ThereÂs a face mask shortage in various hospitals across the country and @amazon is only allowing Chinese manufacturers to sell on their platform because they offer lower prices... Takes 1+ months to arrive  #Covid_19 https://t.co/KVp3EZNtpP,Negative,face mask shortag variou hospit across countri amazon onli allow chine manufactur sell platform becau offer lower price take month arriv covid http co kvp ezntpp
1888,"Any #Austin organizations that would be able to facilitate connection with seniors?

#Coronavirus is here. Seniors shouldn't be going to the grocery store.

Is there a way that young folks to volunteer to shop or drop off supplies for older folks?

#WeAreInThisTogether.",Negative,ani austin organ would abl facilit connect senior coronaviru senior go groceri store way young folk volunt shop drop suppli older folk weareinthistogeth
826,"Me coming back from the grocery store!! ???
Places are packed Man!! ???
#Covid_19 #coronavirus https://t.co/KosxQNZAer",Neutral,come back groceri store place pack man covid coronaviru http co kosxqnza
3162,"@BreeNewsome I guess I answered my own question. We should stock up on food &amp; supplies and then self-quarantine (for as long as possible), even if self-quarantining doesn't become mandatory. @BreeNewsome please tell me your thoughts. #COVID?19 #corona",Positive,breenewsom guess answer question stock food amp suppli self quarantin long possibl even self quarantin becom mandatori breenewsom plea tell thought covid corona
1836,"Overheard at the supermarket: 

A: Let's pick 10 of those. Hurry up! 
B: Stop behaving like it's the zombie apocalypse.

Me: Let the Hunger Games begin. 

#Covid_19 #PanicRoom #Bangalore",Negative,overheard supermarket let pick hurri b stop behav like zombi apocalyps let hunger game begin covid panicroom bangalor
3519,"Links with info on communicating with children regarding COVID-19.

https://t.co/xIMph2V6YV   

https://t.co/qWDtWZbMWP  

https://t.co/NQYNuguxxA  

Managing stress 
https://t.co/oF3v0AI88r  

How to talk to kids
https://t.co/pyqfV7aSyY",Negative,link info commun children regard covid http co ximph v yv http co qwdtwzbmwp http co nqynuguxxa manag stress http co v ai r talk kid http co pyqfv asyy
460,"While yÂall running to the grocery store trying to GET PREPARED, you do know you putting yoself at risk wit those large crowds! IF YOU STAY READY, YOU AINT GOTTA GET READY! ?#Covid_19 https://t.co/s8uxSX6l4Y",Extremely Positive,run groceri store tri get prepar know put yoself risk wit larg crowd stay readi aint gotta get readi covid http co uxsx l
2312,President Trump announced that the US is now stockpiling our strategic oil reserve.  Why? Because oil is on sale at $33 per barrel.  A valuable asset being sold at hugely discounted prices. Are there other deals? #Covid_19 #stockstowatch #markets  https://t.co/d133vN2qX7,Extremely Positive,presid trump announc us stockpil strateg oil reserv becau oil sale per barrel valuabl asset sold huge discount price deal covid stockstowatch market http co vn qx
137,"@sainsburys Can you please make sure that in the midst of all the panic buying , hoarding and general insanity I have seen in your stores recently that you will save some stock for local food banks who have seen donations fall. We are all in this together",Negative,sainsburi plea make sure midst panic buy hoard gener insan seen store recent save stock local food bank seen donat fall thi togeth
2213,My current dream: GO TO THE SUPERMARKET! ? But my brother wonÂt let me cause he doesnÂt want to expose me at any risk. #lockdown #Covid_19,Positive,current dream go supermarket brother let cau want expo ani risk lockdown covid
2489,"#Covid_19 All these men wandering aimlessly through the aisles. I guess itÂs the first time theyÂve ever had to go to the grocery store. (@ Giant in Ashburn, VA) https://t.co/OYdbzjsZJy https://t.co/FLg73Gklzo",Neutral,covid men wander aimlessli aisl guess first time v ever go groceri store giant ashburn va http co oydbzjszji http co flg gklzo
389,1/3 How are you encouraging your clients and consumers to think past this current situation? How is your consumer journey changing? #Covid_19 #Corona,Positive,encourag client consum think past thi current situat consum journey chang covid corona
2371,"DonÂt chase the Sanitizer
GrandmaÂs soap bar is better !

Alcohol-based Sanitizers are effective, but soap &amp; water is a highly efficient way of killing the virus
#coronavirus can be active outside the body for hours
Sanitizers are good, but nothing compared to a soap &amp; water wash https://t.co/47tevvWcN5",Extremely Positive,chase sanit grandma soap bar better alcohol ba sanit effect soap amp water highli effici way kill viru coronaviru activ outsid bodi hour sanit good noth compar soap amp water wash http co tevvwcn
1037,"If youÂve been to the local supermarket and found thereÂs no toilet roll, pasta, pain relief etc because of panic buying this is the time to turn to local businesses.. those shops your drive past on your way to the supermarket! Helping communities! #Covid_19 #COVID19",Negative,v local supermarket found toilet roll pasta pain relief etc becau panic buy thi time turn local busi shop drive past way supermarket help commun covid covid
702,"As #Covid_19 Hit Ghana dierrr , I for start dey stock my room plus food ooo . No more going out . Shiiit ?
#CoronaVirusUpdate 
#CoronaOutbreak https://t.co/bhmgLC98kB",Negative,covid hit ghana dierrr start dey stock room plu food ooo go shiiit coronavirusupd coronaoutbreak http co bhmglc kb
2606,"Omo na wa ooo..... So even supermarket sef don dry! Abeg, make we find prevention and cure from #CoronaVirus ASAP.... awa World is in danger! #OyinboPrincessSaysSo #OgaMa #Covid_19 @ Birmingham, United Kingdom https://t.co/nCuBvpeFyq",Negative,omo na wa ooo even supermarket sef dri abeg make find prevent cure coronaviru asap awa world danger oyinboprincesssaysso ogama covid birmingham unit kingdom http co ncubvpefyq
1480,"Despite the government assuring thereÂs no need to hoard supplies, this  supermarket had to endure long lines of shoppers. Supermarket staff says they always ran out of two things: alcohol and eggs. #covid #Covid_19 #COVID19 https://t.co/ORX6y2BOqb",Negative,despit govern assur need hoard suppli thi supermarket endur long line shopper supermarket staff say alway ran two thing alcohol egg covid covid covid http co orx boqb
1639,"Hands are drying up up with frequency of HAND WASHING? Use this lotion which will sooth dry irritated skin. Has nourishing ingredients inc jojoba oil, vitamin e, collagen &amp; elastin which helps the skin remain smooth &amp; supple.
https://t.co/gcMqOR353B
#coronavirus #moisturise https://t.co/nLipYaQc2o",Extremely Positive,hand dri frequenc hand wash use thi lotion sooth dri irrit skin ha nourish ingredi inc jojoba oil vitamin e collagen amp elastin help skin remain smooth amp suppl http co gcmqor b coronaviru moisturi http co nlipyaqc
419,All this proves is that the world could run at a lesser cost if we wanted. These people literally define prices by demand. Is this not a joke? #Covid_19,Negative,thi prove world could run lesser cost want peopl liter defin price demand thi joke covid
3677,"Five million self-employed workers Âcould be forced into debt or having to work while illÂ https://t.co/za4ubjzbk3

#selfemployed #coronavirus #socialinequality #capitalism",Extremely Negative,five million self employ worker could forc debt work ill http co za ubjzbk selfemploy coronaviru socialinequ capit
3691,"With all this chaos with #coronavirus 
Please don't forget to stock up on food for your pets
It's gonna get interesting in the next few weeks",Negative,thi chao coronaviru plea forget stock food pet gonna get interest next week
1948,"@RealJamesWoods @DastardlyJabby IÂm not panicking. I bought my masks, gloves, food, and toilet rolls a month ago. They had loads in stock back then. IÂm not panicking because I DID NOT listen to government advice. I did my own research, read medical jou",Positive,realjameswood dastardlyjabbi panick bought mask glove food toilet roll month ago load stock back panick becau listen govern advic research read medic jou
2452,"Surviving Corona Virus:

Day 0: Rush to grocery store, stock up on food and WINE

Day 1: Need more wine, restock

Day 2: Wow, ate a lot of food, need to restock food and wine!

Day 3: Repeat at day 0

#StayAtHome #coronavirus #coronavirusupdates #COVID?19 #SaturdayThoughts",Extremely Positive,surviv corona viru day rush groceri store stock food wine day need wine restock day wow ate lot food need restock food wine day repeat day stayathom coronaviru coronavirusupd covid saturdaythought
1531,Went to the grocery store today.   Please someone explain the toilet paper bullshit.    What part of wash your hands and avoid crowds do you not understand.   #CoronavirusPandemic #Covid_19 https://t.co/ofh8n5RMNd,Negative,went groceri store today plea someon explain toilet paper bullshit part wash hand avoid crowd understand coronaviruspandem covid http co ofh n rmnd
2139,"""My uncle in Hong Kong called to ask about our situation here and told us to stock up some food as the situation in China was bad, and it would eventually get worse here too,"" said a typist in Penampang. https://t.co/nvx3tltuqX",Extremely Negative,mi uncl hong kong call ask situat told us stock food situat china wa bad would eventu get wor said typist penampang http co nvx tltuqx
812,"IÂve read posts about the COVID-19 saying to stock up on food, to take all your money in the bank out, and other extremes. That scares me.",Negative,v read post covid say stock food take money bank extrem scare
3198,@ElzMo3008 I love a sunday of work . Nice chilled out and lazy day. NOT TODAY THO . I now feel i HAVE to go and stock up because of these selfish bastards. So food shop it is . #panicshopping #coronavirus https://t.co/UhYD4DxIGp,Negative,elzmo love sunday work nice chill lazi day today tho feel go stock becau selfish bastard food shop panicshop coronaviru http co uhyd dxigp
272,@ElieTahari #samplesale is #postponed - expect other #sales to go #online or skip a #season as #coronavirus #pandemic grows #shopping #nyc https://t.co/bXxD4n8oI8,Neutral,elietahari samples postpon expect sale go onlin skip season coronaviru pandem grow shop nyc http co bxxd n oi
2496,Folks that are ordering extra groceries Please consider your local food banks People with food insecurity don t have the ability to  order extra  or stock up They need our help 19,Positive,folk order extra groceri plea consid local food bank peopl food insecur abil order extra stock need help
1194,Take care of your pets. Stock up on food and any medicine they may need. #petcare #coronavirus #covid19 @OregonHumane,Positive,take care pet stock food ani medicin may need petcar coronaviru covid oregonhuman
1298,Looking for stores with food in stock and no people/mobs #SocialDistancing or should we just have everything delivered? #coronavirus,Negative,look store food stock peopl mob socialdistanc everyth deliv coronaviru
3599,"Social distancing may help reduce the coronavirus crisis, but it also threatens to wreck small businesses.
Shopping local, online &amp; off.
Take advantage of discounts.
Order in. 
Tip a little more than usual.

#CeemiAgency #smallbusinesssupport #coronavirus2020 #coronavirus https://t.co/Ri4cd2RdpS",Extremely Negative,social distanc may help reduc coronaviru crisi also threaten wreck small busi shop local onlin amp take advantag discount order tip littl usual ceemiag smallbusinesssupport coronaviru coronaviru http co ri cd rdp
306,"This #coronavirus #panickbuyinguk is bloody ridiculous, I canÂt get painkillers for knee pain IÂm suffering, the foods I buy for my #autistic child who has food issues are out of stock, how do I tell him he canÂt have that without causing meltdown You people are pricks!!",Extremely Negative,thi coronaviru panickbuyinguk bloodi ridicul get painkil knee pain suffer food buy autist child ha food issu stock tell without cau meltdown peopl prick
1823,"Il #coronavirus colpisce maggiormente i polmoni ma destabilizza anche altri organi 

#quartogrado https://t.co/wBZVDMr16z",Neutral,il coronaviru colpisc maggior polmoni destabilizza anch altri organi quartogrado http co wbzvdmr z
2626,"If you think about it, if youÂre trying to avoid getting #Covid_19, going to the grocery store where EVERYONE is at is not a good idea",Negative,think r tri avoid get covid go groceri store everyon good idea
1683,Like many places. This is what my local grocery store looks like.Stay safe and empathetic out there.  People are in full panic mode. We need to still remember to be kind. #Covid_19 https://t.co/CSGxWEZPvP,Extremely Positive,like mani place thi local groceri store look like stay safe empathet peopl full panic mode need still rememb kind covid http co csgxwezpvp
1092,"Forgot toilet papers, I have to go shopping for computers. Schools are closed and going online classes. Never thought this #coronavirus is that powerful.",Positive,forgot toilet paper go shop comput school close go onlin class never thought thi coronaviru power
3352,We are working to support our neighbors in need to the best of our ability during the pandemic but we need your help to purchase 37 truckloads of shelf stable food which will be necessary to meet demand Please visit to donate,Extremely Positive,work support neighbor need best abil dure pandem need help purcha truckload shelf stabl food necessari meet demand plea visit donat
51,"Cuomo press conference...
New York is releasing new brand of state made had sanitizer prices from $0.80Â¢ - $6 a gallon!
#CoronaVirusUpdates #Corona #CoronavirusOutbreak #virus #COVID2019 #COVID19 #NYC

https://t.co/9jhElBwElZ",Neutral,cuomo press confer new york relea new brand state made sanit price gallon coronavirusupd corona coronavirusoutbreak viru covid covid nyc http co jhelbwelz
3433,"All prepared to go to the bank, the chemist and the supermarket, the only places we are allowed to go for the next 2 weeks ? #COVID2019 https://t.co/XMMvbo3ZfV",Positive,prepar go bank chemist supermarket onli place allow go next week covid http co xmmvbo zfv
1444,"Coranavirus Consumer Confidence Tracker - week 1. A 1000-consumer survey on confidence, behaviour, attitude with @retailx - re-run regularly and updated daily. First look here: https://t.co/YpOQvfeNyj #retail #covid19 #consumer #research https://t.co/1we4VLgwoS",Extremely Positive,coranaviru consum confid tracker week consum survey confid behaviour attitud retailx run regularli updat daili first look http co ypoqvfenyj retail covid consum research http co vlgwo
216,"Just went to the grocery store to NOT buy bleach, cleaners or toilet paper, but to buy bacon and steak. While there, saw three people with masks on. ?? Maybe the THREE (3) out of a state of 11,690,000 in Ohio who have the very SCARY #coronavirus. SHUT DOWN GROCERY STORES!!!",Extremely Negative,went groceri store buy bleach cleaner toilet paper buy bacon steak saw three peopl mask mayb three state ohio veri scari coronaviru shut groceri store
2030,"#Covid-19 what is the flip side? Is physical shopping coming down and #ecommerce ommerce picking up? Online e-retailers will leverage this situation to their advantage, and it will be a sensible thing to do. 

https://t.co/umS0Tklb34",Positive,covid flip side physic shop come ecommerc ommerc pick onlin e retail leverag thi situat advantag sensibl thing http co um tklb
1273,Everyone stock up on food! #coronapocalypse #CoronaOutbreak #ohiocoronavirus #Covid_19 #CoronaVirusMichigan #COVID19 #FridayFeeling #FridayThoughts #selfisolating #coronavirusinKenya #share #dm #retweet,Neutral,everyon stock food coronapocalyp coronaoutbreak ohiocoronaviru covid coronavirusmichigan covid fridayfeel fridaythought selfisol coronavirusinkenya share dm retweet
1848,"COVID-19 TESTING AT TARGET, WALMART Chief executives of Target, Walgreens, Walmart and CVS pledged to make space available in their store parking lots to drive up and get swabbed by state health workers, starting as soon as Sunday https://t.co/SrtsIPs9ow #COVID19testing #retail",Neutral,covid test target walmart chief execut target walgreen walmart cv pledg make space avail store park lot drive get swab state health worker start soon sunday http co srtsip ow covid test retail
1866,People havenÂt thought through this economic damage thing. IÂve been at home 2 hours and already bought a new computer monitor. I think online shopping could do very well out of this ? #Covid_19,Negative,peopl thought thi econom damag thing v home hour alreadi bought new comput monitor think onlin shop could veri well thi covid
3615,  We ve got several new stories out today at about COVID 19 and the food chain   Farmers markets fear shutdowns a local food co op responds to high demand officials assure that the country has plenty of food Read it all here no paywall,Negative,got sever new stori today covid food chain farmer market fear shutdown local food co op respond high demand offici assur countri ha plenti food read paywal
232,"CDC: At-risk Americans (60 &amp; over) and immunocompromised (impaired immune system) Âtake actionÂ stock up food &amp; meds for COVID-19
https://t.co/ezYzJEigSm",Neutral,cdc risk american amp immunocompromi impair immun system take action stock food amp med covid http co ezyzjeigsm
922,"Every store upon hearing all #dearcorporate travel has been suspended due to #coronavirus for the next two weeks.
#partytime #Retail #retaillife https://t.co/g8hmg9JUPv",Negative,everi store upon hear dearcorpor travel ha suspend due coronaviru next two week partytim retail retaillif http co g hmg jupv
3534,"Keeping your pets safe from COVID-19 because they may test weak positive for COVID-19 from a number of things. Wash your hands, Stock up on pet supplies (including at least 2 weeks worth of food), Designate an emergency care giver in the event your unable to.",Extremely Positive,keep pet safe covid becau may test weak posit covid number thing wash hand stock pet suppli includ least week worth food design emerg care giver event unabl
3430,"On panic buying: Health minister @PattyHajdu says Canada is not running out of food or supplies, stresses people should only buy what they need for 2 weeks. IÂve listened to 3 news conferences so far today and this has been mentioned every single time. #coronavirus #COVID19",Extremely Negative,panic buy health minist pattyhajdu say canada run food suppli stress peopl onli buy need week v listen news confer far today thi ha mention everi singl time coronaviru covid
3756,"#Coronavirus, or COVID-19, will greatly affect the global #economy. Is your businessÂ #digital strategy prepared? https://t.co/olJ1AinG03",Positive,coronaviru covid greatli affect global economi busi digit strategi prepar http co olj a
704,"When you stock up kilos and kilos of goods and empty supermarket shelves, please think about the people who live on a daily wages. They will not have the ability to stock up food like you and they will be hit the hardest by unnecessary panic buying #CoronaOutbreak #coronavirus",Negative,stock kilo kilo good empti supermarket shelv plea think peopl live daili wage abil stock food like hit hardest unnecessari panic buy coronaoutbreak coronaviru
2074,"Everyone: ÂBuy toilet paperÂ, Âstock up on foodÂ, Âkeep a eye on the newsÂ
Me: As long as GameStop will be open on the 20th #AnimalCrossing #NewHorizons #coronavirus #AnimalCrossingNewHorizons https://t.co/dJiSBrtwzu",Neutral,everyon buy toilet paper stock food keep eye news long gamestop open th animalcross newhorizon coronaviru animalcrossingnewhorizon http co djisbrtwzu
366,We should stock up on food in case cities we live in shutdown supermarkets because of this damn #Coronavirus ? ehhh,Negative,stock food case citi live shutdown supermarket becau thi damn coronaviru ehhh
1752,"Unless you are upper middle class or above, if/when #Covid_19 turns in a major disaster scenario (infrastructure and authorities fall apart), youÂre screwed. Most of us canÂt afford to panic buy canned food and TP.",Extremely Negative,unless upper middl class covid turn major disast scenario infrastructur author fall apart r screw us afford panic buy food tp
1413,"@iamshafaatali Its a trend seen in every emerg mkt.. At the start of #Covid_19 the ""carry"" was inducing foreigners to invest in bonds but those flows have reversed since Feb-end &amp; bond prices have fallen in the past few days. Obv. Pak being EM have wi",Negative,iamshafaatali trend seen everi emerg mkt start covid carri wa induc foreign invest bond flow rever sinc feb end amp bond price fallen past day obv pak em wi
1659,With schools closing in many places remember that there are a lot of children in America whose only breakfast lunch come from free school meals As you stock up consider getting a little extra to donate to a food bank I imagine the need will only increase now,Extremely Positive,school close mani place rememb lot children america whose onli breakfast lunch come free school meal stock consid get littl extra donat food bank imagin need onli increa
280,"Those rich Pricks selling us water at gas prices, next, they sell us #sunshine, energy,  Next #air (Ioxygen) in portable clip on sacs. The rich always create crisis of fear for profit. Now World leaders, Hollywood &amp; Rich support by claiming they are contaminated #Covid_19",Extremely Positive,rich prick sell us water ga price next sell us sunshin energi next air ioxygen portabl clip sac rich alway creat crisi fear profit world leader hollywood amp rich support claim contamin covid
